Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price,Price_log,Type_Lumped,Make_Lumped,Region_Lumped,Car_Age,is_classic,car_class,Mileage_per_Age,Price_Deviation_by_Make,Car_Age_Sq
Yukon,Riyadh,GMC,Automatic,Saudi,Full,2014,8.0,80000,False,120000.0,11.695255355062795,Yukon,GMC,Riyadh,11,0,Standard,6666.666666666667,74063.71841155234,121
Range Rover,Riyadh,Land Rover,Automatic,Gulf Arabic,Full,2015,5.0,140000,False,260000.0,12.468440756144114,Range Rover,Land Rover,Riyadh,10,0,Premium,12727.272727272728,71429.48717948719,100
Optima,Hafar Al-Batin,Kia,Automatic,Saudi,Semi Full,2015,2.4,220000,False,42000.0,10.645448706505872,Other,Kia,Other,10,0,Standard,20000.0,9730.371900826445,100
CX3,Abha,Mazda,Automatic,Saudi,Semi Full,2019,2.0,25000,False,58000.0,10.968215530759236,Other,Mazda,Other,6,0,Standard,3571.4285714285716,10779.527559055117,36
Cayenne S,Riyadh,Porsche,Automatic,Saudi,Full,2012,4.8,189000,False,85000.0,11.350418300109132,Other,Other,Riyadh,13,0,Luxury,13500.0,-34666.66666666667,169
Sonata,Riyadh,Hyundai,Automatic,Saudi,Full,2016,2.4,155,False,48000.0,10.778977123006351,Sonata,Hyundai,Riyadh,9,0,Standard,15.5,13001.364341085275,81
Avalon,Riyadh,Toyota,Automatic,Saudi,Standard,2016,3.5,110864,False,81500.0,11.308370569092329,Other,Toyota,Riyadh,9,0,Standard,11086.4,32125.44294826364,81
C300,Makkah,Chrysler,Automatic,Saudi,Full,2013,5.7,200,False,55000.0,10.915106645867503,Other,Other,Makkah,12,0,Standard,15.384615384615385,5620.0,144
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2011,4.6,79000,False,145000.0,11.884495917930655,Land Cruiser,Toyota,Riyadh,14,0,Standard,5266.666666666667,95625.44294826363,196
LS,Dammam,Lexus,Automatic,Saudi,Full,2008,4.6,299000,False,38000.0,10.545367754151743,Other,Lexus,Dammam,17,0,Premium,16611.11111111111,-78461.71171171172,289
FJ,Riyadh,Toyota,Automatic,Saudi,Semi Full,2020,4.0,17000,False,140000.0,11.849404844423074,Other,Toyota,Riyadh,5,0,Standard,2833.3333333333335,90625.44294826363,25
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2019,4.6,71000,False,200000.0,12.206077645517674,Land Cruiser,Toyota,Riyadh,6,0,Standard,10142.857142857143,150625.44294826363,36
Tucson,Jeddah,Hyundai,Automatic,Saudi,Standard,2018,2.0,85000,False,65000.0,11.082157933374816,Other,Hyundai,Jeddah,7,0,Standard,10625.0,30001.364341085275,49
Sunny,Riyadh,Nissan,Manual,Saudi,Standard,2011,1.4,290,False,7000.0,8.853808274977197,Sunny,Nissan,Riyadh,14,0,Standard,19.333333333333332,-27575.520833333336,196
Pajero,Riyadh,Mitsubishi,Automatic,Saudi,Full,2018,3.5,74715,False,76000.0,11.23850177707664,Other,Mitsubishi,Riyadh,7,0,Standard,9339.375,34268.81720430108,49
Azera,Riyadh,Hyundai,Automatic,Saudi,Full,2013,3.0,284000,False,32000.0,10.373522431293592,Other,Hyundai,Riyadh,12,0,Standard,21846.153846153848,-2998.6356589147254,144
Focus,Khobar,Ford,Automatic,Gulf Arabic,Standard,2014,1.6,98000,False,23000.0,10.043292972227004,Other,Ford,Other,11,0,Standard,8166.666666666667,-14644.53728489484,121
5,Al-Baha,MG,Automatic,Saudi,Semi Full,2021,1.5,3400,False,42000.0,10.645448706505872,Other,Other,Other,4,0,Standard,680.0,-2472.222222222219,16
Spark,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,1.4,108,False,20000.0,9.90353755128617,Other,Chevrolet,Dammam,8,0,Standard,12.0,-23863.534675615214,64
Pathfinder,Al-Ahsa,Nissan,Automatic,Saudi,Semi Full,2002,3.3,550000,False,10000.0,9.210440366976517,Other,Nissan,Al-Ahsa,23,0,Standard,22916.666666666668,-24575.520833333336,529
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,1.4,204000,False,23000.0,10.043292972227004,Accent,Hyundai,Riyadh,8,0,Standard,22666.666666666668,-11998.635658914725,64
ML,Jeddah,Mercedes,Automatic,Saudi,Semi Full,2010,3.5,139240,False,45000.0,10.714439990727769,Other,Mercedes,Jeddah,15,0,Standard,8702.5,-80968.88888888889,225
Corolla,Jazan,Toyota,Automatic,Saudi,Semi Full,2013,1.6,296,False,30000.0,10.308985993422082,Corolla,Toyota,Other,12,0,Standard,22.76923076923077,-19374.55705173636,144
Tahoe,Riyadh,Chevrolet,Automatic,Other,Semi Full,2017,6.2,105920,False,149000.0,11.91170829631447,Tahoe,Chevrolet,Riyadh,8,0,Standard,11768.888888888889,105136.46532438479,64
A,Riyadh,Mercedes,Automatic,Other,Standard,2021,2.0,10000,False,179000.0,12.095146671399466,Other,Mercedes,Riyadh,4,0,Standard,2000.0,53031.11111111111,16
Altima,Aseer,Nissan,Automatic,Saudi,Full,2011,2.5,18500,False,22000.0,9.99884318585288,Other,Nissan,Aseer,14,0,Standard,1233.3333333333333,-12575.520833333336,196
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Full,2010,5.3,292000,False,55000.0,10.915106645867503,Tahoe,Chevrolet,Riyadh,15,0,Standard,18250.0,11136.465324384786,225
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2013,5.4,270000,False,49500.0,10.809748150372926,Expedition,Ford,Riyadh,12,0,Standard,20769.23076923077,11855.46271510516,144
Senta fe,Riyadh,Hyundai,Automatic,Gulf Arabic,Full,2015,3.3,350000,False,52000.0,10.859018228147887,Other,Hyundai,Riyadh,10,0,Standard,31818.18181818182,17001.364341085275,100
Liberty,Al-Medina,Jeep,Automatic,Saudi,Semi Full,2012,3.7,247000,False,25000.0,10.12667110305036,Other,Other,Al-Medina,13,0,Standard,17642.85714285714,-38481.48148148148,169
X,Jeddah,BMW,Automatic,Saudi,Full,2015,2.0,92000,False,72000.0,11.184435286790631,Other,BMW,Jeddah,10,0,Premium,8363.636363636364,-37076.28865979382,100
Land Cruiser Pickup,Riyadh,Toyota,Manual,Saudi,Standard,2018,4.0,98000,False,105000.0,11.561725152903833,Other,Toyota,Riyadh,7,0,Standard,12250.0,55625.44294826364,49
VTC,Riyadh,Nissan,Manual,Saudi,Semi Full,2016,4.8,307801,False,99000.0,11.502885230075814,Other,Nissan,Riyadh,9,0,Standard,30780.1,64424.479166666664,81
Malibu,Abha,Chevrolet,Automatic,Saudi,Standard,2020,1.5,62000,False,57000.0,10.950824090522445,Other,Chevrolet,Other,5,0,Standard,10333.333333333334,13136.465324384786,25
The 5,Jeddah,BMW,Automatic,Saudi,Standard,2019,2.5,38000,False,140000.0,11.849404844423074,Other,BMW,Jeddah,6,0,Premium,5428.571428571428,30923.71134020618,36
Patrol,Riyadh,Nissan,Automatic,Saudi,Full,2010,4.0,208000,False,72000.0,11.184435286790631,Patrol,Nissan,Riyadh,15,0,Standard,13000.0,37424.479166666664,225
Sonata,Makkah,Hyundai,Automatic,Saudi,Full,2020,2.5,11000,False,110000.0,11.608244735642321,Sonata,Hyundai,Makkah,5,0,Standard,1833.3333333333333,75001.36434108528,25
Grand Cherokee,Al-Namas,Jeep,Automatic,Saudi,Semi Full,2014,3.6,245000,False,55000.0,10.915106645867503,Other,Other,Other,11,0,Standard,20416.666666666668,-8481.481481481482,121
Camry,Taef,Toyota,Automatic,Saudi,Semi Full,2001,9.0,150000,False,15000.0,9.61587214452889,Camry,Toyota,Taef,24,0,Standard,6000.0,-34374.55705173636,576
SL,Jeddah,Mercedes,Automatic,Saudi,Full,2017,4.7,81000,False,265000.0,12.487488878546145,Other,Mercedes,Jeddah,8,0,Standard,9000.0,139031.11111111112,64
Previa,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2015,2.4,156000,False,56500.0,10.942013616092948,Other,Toyota,Riyadh,10,0,Standard,14181.818181818182,7125.442948263641,100
SEL,Tabouk,Mercedes,Automatic,Saudi,Full,1986,3.0,500000,False,5500.0,8.612685172875459,Other,Mercedes,Tabouk,39,1,Standard,12500.0,-120468.88888888889,1521
FJ,Jeddah,Toyota,Automatic,Saudi,Full,2015,4.0,228000,False,90000.0,11.407576060361786,Other,Toyota,Jeddah,10,0,Standard,20727.272727272728,40625.44294826364,100
MKZ,Riyadh,Lincoln,Automatic,Saudi,Semi Full,2013,3.7,98100,False,71500.0,11.177466714598282,Other,Other,Riyadh,12,0,Premium,7546.153846153846,29656.25,144
Datsun,Dammam,Nissan,Manual,Saudi,Semi Full,2015,2.0,182000,False,29000.0,10.275085591132715,Other,Nissan,Dammam,10,0,Standard,16545.454545454544,-5575.520833333336,100
Hilux,Dammam,Toyota,Manual,Saudi,Semi Full,2016,2.7,210800,False,62000.0,11.034905792929415,Hilux,Toyota,Dammam,9,0,Standard,21080.0,12625.44294826364,81
Yukon,Riyadh,GMC,Automatic,Gulf Arabic,Standard,2016,5.3,88000,False,141000.0,11.856522261533737,Yukon,GMC,Riyadh,9,0,Standard,8800.0,95063.71841155234,81
Land Cruiser,Qassim,Toyota,Automatic,Saudi,Full,2019,4.5,82808,False,230000.0,12.345838935721968,Land Cruiser,Toyota,Qassim,6,0,Standard,11829.714285714286,180625.44294826363,36
GLC,Dammam,Mercedes,Automatic,Gulf Arabic,Full,2020,2.0,4000,False,225000.0,12.323860125621126,Other,Mercedes,Dammam,5,0,Standard,666.6666666666666,99031.11111111111,25
Edge,Jeddah,Ford,Automatic,Saudi,Full,2011,3.5,70000,False,60000.0,11.002116507732017,Other,Ford,Jeddah,14,0,Standard,4666.666666666667,22355.46271510516,196
6,Jeddah,Mazda,Automatic,Saudi,Standard,2021,2.5,115,False,93000.0,11.440365524765756,Other,Mazda,Jeddah,4,0,Standard,23.0,45779.52755905512,16
Innova,Jeddah,Toyota,Automatic,Saudi,Standard,2018,2.7,91440,False,68000.0,11.127277689932466,Other,Toyota,Jeddah,7,0,Standard,11430.0,18625.44294826364,49
Navara,Riyadh,Nissan,Manual,Saudi,Semi Full,2015,2.0,45000,False,50000.0,10.819798284210286,Other,Nissan,Riyadh,10,0,Standard,4090.909090909091,15424.479166666664,100
Senta fe,Riyadh,Hyundai,Automatic,Other,Semi Full,2016,3.3,50100,False,69000.0,11.141876276228,Other,Hyundai,Riyadh,9,0,Standard,5010.0,34001.364341085275,81
G80,Riyadh,Genesis,Automatic,Saudi,Semi Full,2019,3.8,35449,False,121500.0,11.707677772181546,Other,Other,Riyadh,6,0,Premium,5064.142857142857,31616.66666666667,36
Carnival,Jeddah,Kia,Automatic,Saudi,Semi Full,2016,3.3,180,False,38000.0,10.545367754151743,Other,Kia,Jeddah,9,0,Standard,18.0,5730.371900826445,81
Suburban,Al-Medina,Chevrolet,Automatic,Other,Full,1999,5.3,70000,False,20000.0,9.90353755128617,Suburban,Chevrolet,Al-Medina,26,1,Standard,2592.5925925925926,-23863.534675615214,676
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,66200,False,51000.0,10.839600519357369,Corolla,Toyota,Riyadh,8,0,Standard,7355.555555555556,1625.4429482636406,64
Camaro,Dammam,Chevrolet,Automatic,Other,Full,2018,3.6,89000,False,109000.0,11.599112335481124,Other,Chevrolet,Dammam,7,0,Standard,11125.0,65136.465324384786,49
Accord,Riyadh,Honda,Automatic,Saudi,Semi Full,2014,4.0,349000,False,48000.0,10.778977123006351,Accord,Honda,Riyadh,11,0,Standard,29083.333333333332,2845.2173913043443,121
Malibu,Dammam,Chevrolet,Automatic,Saudi,Full,2016,3.6,105000,False,47000.0,10.757924157061597,Other,Chevrolet,Dammam,9,0,Standard,10500.0,3136.465324384786,81
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2017,5.7,130000,False,88000.0,11.385103457032141,Other,Other,Riyadh,8,0,Standard,14444.444444444445,38620.0,64
Sunny,Riyadh,Nissan,Automatic,Saudi,Semi Full,2011,1.6,212000,False,15000.0,9.61587214452889,Sunny,Nissan,Riyadh,14,0,Standard,14133.333333333334,-19575.520833333336,196
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2014,1.5,139740,False,20000.0,9.90353755128617,Sunny,Nissan,Riyadh,11,0,Standard,11645.0,-14575.520833333336,121
Azera,Riyadh,Hyundai,Automatic,Other,Semi Full,2017,3.5,256,False,47000.0,10.757924157061597,Other,Hyundai,Riyadh,8,0,Standard,28.444444444444443,12001.364341085275,64
Tahoe,Riyadh,Chevrolet,Automatic,Gulf Arabic,Full,2017,5.3,73000,False,142000.0,11.863589378812122,Tahoe,Chevrolet,Riyadh,8,0,Standard,8111.111111111111,98136.46532438479,64
Datsun,Qassim,Nissan,Manual,Saudi,Standard,2016,2.4,866,False,53000.0,10.87806606028079,Other,Nissan,Qassim,9,0,Standard,86.6,18424.479166666664,81
Innova,Qassim,Toyota,Automatic,Saudi,Semi Full,2015,2.7,216,False,39000.0,10.571342565808699,Other,Toyota,Qassim,10,0,Standard,19.636363636363637,-10374.55705173636,100
Taurus,Makkah,Ford,Automatic,Saudi,Semi Full,2016,2.0,148000,False,58000.0,10.968215530759236,Taurus,Ford,Makkah,9,0,Standard,14800.0,20355.46271510516,81
Avalon,Jeddah,Toyota,Automatic,Saudi,Semi Full,2014,3.5,188257,False,78500.0,11.270866642542865,Other,Toyota,Jeddah,11,0,Standard,15688.083333333334,29125.44294826364,121
Camry,Qassim,Toyota,Automatic,Gulf Arabic,Standard,2016,2.5,117000,False,60000.0,11.002116507732017,Camry,Toyota,Qassim,9,0,Standard,11700.0,10625.44294826364,81
Tahoe,Jeddah,Chevrolet,Automatic,Saudi,Semi Full,2013,5.3,211257,False,60000.0,11.002116507732017,Tahoe,Chevrolet,Jeddah,12,0,Standard,16250.538461538461,16136.465324384786,144
Elantra,Riyadh,Hyundai,Automatic,Saudi,Standard,2017,2.0,135000,False,35000.0,10.463131911491967,Elantra,Hyundai,Riyadh,8,0,Standard,15000.0,1.3643410852746456,64
Flex,Riyadh,Ford,Automatic,Saudi,Standard,2015,3.6,290000,False,30000.0,10.308985993422082,Other,Ford,Riyadh,10,0,Standard,26363.636363636364,-7644.537284894839,100
S,Al-Medina,Mercedes,Automatic,Saudi,Full,2007,3.0,270000,False,45000.0,10.714439990727769,S,Mercedes,Al-Medina,18,0,Standard,14210.526315789473,-80968.88888888889,324
Cerato,Jeddah,Kia,Automatic,Saudi,Standard,2019,1.6,43632,False,45500.0,10.725489582719506,Other,Kia,Jeddah,6,0,Standard,6233.142857142857,13230.371900826445,36
Furniture,Taef,Toyota,Manual,Saudi,Standard,2009,2.7,530500,False,33000.0,10.404293143019792,Furniture,Toyota,Taef,16,0,Standard,31205.882352941175,-16374.55705173636,256
Tahoe,Dammam,Chevrolet,Automatic,Saudi,Semi Full,2017,5.3,153000,False,125000.0,11.736077016252437,Tahoe,Chevrolet,Dammam,8,0,Standard,17000.0,81136.46532438479,64
Murano,Riyadh,Nissan,Automatic,Saudi,Standard,2008,1.0,300,False,9500.0,9.15915233520675,Other,Nissan,Riyadh,17,0,Standard,16.666666666666668,-25075.520833333336,289
S,Al-Ahsa,Mercedes,Automatic,Other,Semi Full,2010,5.5,228000,False,63000.0,11.050905878263567,S,Mercedes,Al-Ahsa,15,0,Standard,14250.0,-62968.88888888889,225
Senta fe,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2016,3.3,126000,False,63000.0,11.050905878263567,Other,Hyundai,Riyadh,9,0,Standard,12600.0,28001.364341085275,81
Land Cruiser 70,Makkah,Toyota,Manual,Saudi,Full,2015,2.6,180000,False,80000.0,11.289794413577894,Other,Toyota,Makkah,10,0,Standard,16363.636363636364,30625.44294826364,100
Expedition,Jazan,Ford,Automatic,Saudi,Semi Full,2014,5.4,108000,False,60000.0,11.002116507732017,Expedition,Ford,Other,11,0,Standard,9000.0,22355.46271510516,121
Altima,Riyadh,Nissan,Automatic,Saudi,Standard,2017,2.5,122000,False,44000.0,10.691967639914864,Other,Nissan,Riyadh,8,0,Standard,13555.555555555555,9424.479166666664,64
3,Al-Medina,Mazda,Automatic,Saudi,Standard,2018,1.8,53000,False,54000.0,10.896757843893464,Other,Mazda,Al-Medina,7,0,Standard,6625.0,6779.527559055117,49
Altima,Jeddah,Nissan,Automatic,Saudi,Standard,2017,2.5,181000,False,37000.0,10.518700218288165,Other,Nissan,Jeddah,8,0,Standard,20111.11111111111,2424.4791666666642,64
Pick up,Sabya,Zhengzhou,Manual,Saudi,Semi Full,2020,2.4,13800,False,35000.0,10.463131911491967,Other,Other,Other,5,0,Standard,2300.0,0.0,25
Charger,Riyadh,Dodge,Automatic,Saudi,Standard,2018,3.6,79000,False,79000.0,11.277215789596893,Other,Dodge,Riyadh,7,0,Standard,9875.0,26173.913043478264,49
H6,Riyadh,HAVAL,Automatic,Saudi,Full,2020,1.5,9000,False,70000.0,11.156264806643742,Other,Other,Riyadh,5,0,Standard,1500.0,28507.142857142855,25
Hilux,Al-Jouf,Toyota,Manual,Saudi,Full,2017,2.7,168000,False,81000.0,11.302216779257382,Hilux,Toyota,Other,8,0,Standard,18666.666666666668,31625.44294826364,64
Corolla,Al-Ahsa,Toyota,Automatic,Saudi,Full,2016,1.6,86500,False,48000.0,10.778977123006351,Corolla,Toyota,Al-Ahsa,9,0,Standard,8650.0,-1374.5570517363594,81
Hiace,Riyadh,Toyota,Manual,Saudi,Standard,2017,2.7,192692,False,68500.0,11.134603622683905,Other,Toyota,Riyadh,8,0,Standard,21410.222222222223,19125.44294826364,64
Taurus,Dammam,Ford,Automatic,Saudi,Standard,2019,2.0,48000,False,80000.0,11.289794413577894,Taurus,Ford,Dammam,6,0,Standard,6857.142857142857,42355.46271510516,36
Sunny,Jeddah,Nissan,Automatic,Saudi,Standard,2019,1.5,38920,False,33500.0,10.419330568113901,Sunny,Nissan,Jeddah,6,0,Standard,5560.0,-1075.5208333333358,36
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.4,32000,False,33000.0,10.404293143019792,Accent,Hyundai,Dammam,8,0,Standard,3555.5555555555557,-1998.6356589147254,64
Fusion,Jazan,Ford,Automatic,Saudi,Standard,2012,2.5,219000,False,14500.0,9.581972891547895,Other,Ford,Other,13,0,Standard,15642.857142857143,-23144.53728489484,169
Aveo,Qassim,Chevrolet,Manual,Other,Standard,2011,1.2,102000,False,11000.0,9.305741456739435,Other,Chevrolet,Qassim,14,0,Standard,6800.0,-32863.534675615214,196
Sonata,Jeddah,Hyundai,Automatic,Saudi,Full,2020,2.5,3000,False,118000.0,11.678448377988165,Sonata,Hyundai,Jeddah,5,0,Standard,500.0,83001.36434108528,25
Corolla,Qassim,Toyota,Automatic,Saudi,Standard,2013,1.6,334000,False,36500.0,10.505094936455558,Corolla,Toyota,Qassim,12,0,Standard,25692.30769230769,-12874.55705173636,144
Cerato,Riyadh,Kia,Automatic,Saudi,Standard,2016,1.6,34000,False,32000.0,10.373522431293592,Other,Kia,Riyadh,9,0,Standard,3400.0,-269.6280991735548,81
CX9,Al-Ahsa,Mazda,Automatic,Saudi,Full,2016,2.5,229000,False,63000.0,11.050905878263567,Other,Mazda,Al-Ahsa,9,0,Standard,22900.0,15779.527559055117,81
Expedition,Dammam,Ford,Automatic,Saudi,Semi Full,2014,5.4,151000,False,65000.0,11.082157933374816,Expedition,Ford,Dammam,11,0,Standard,12583.333333333334,27355.46271510516,121
Flex,Dammam,Ford,Automatic,Saudi,Standard,2014,3.5,201000,False,57000.0,10.950824090522445,Other,Ford,Dammam,11,0,Standard,16750.0,19355.46271510516,121
Optima,Riyadh,Kia,Automatic,Saudi,Full,2017,2.4,130,False,48000.0,10.778977123006351,Other,Kia,Riyadh,8,0,Standard,14.444444444444445,15730.371900826445,64
Azera,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,3.0,147000,False,75000.0,11.225256725762893,Other,Hyundai,Riyadh,7,0,Standard,18375.0,40001.364341085275,49
Camry,Riyadh,Toyota,Automatic,Saudi,Standard,2017,2.5,101732,False,61500.0,11.026808713825016,Camry,Toyota,Riyadh,8,0,Standard,11303.555555555555,12125.44294826364,64
Camry,Jeddah,Toyota,Automatic,Gulf Arabic,Semi Full,2010,2.5,145,False,25000.0,10.12667110305036,Camry,Toyota,Jeddah,15,0,Standard,9.0625,-24374.55705173636,225
Yaris,Dammam,Toyota,Automatic,Saudi,Semi Full,2016,1.5,9800,False,32000.0,10.373522431293592,Other,Toyota,Dammam,9,0,Standard,980.0,-17374.55705173636,81
Sierra,Riyadh,GMC,Automatic,Saudi,Standard,2011,5.3,231000,False,45000.0,10.714439990727769,Other,GMC,Riyadh,14,0,Standard,15400.0,-936.2815884476513,196
Durango,Yanbu,Dodge,Automatic,Saudi,Semi Full,2013,5.7,487100,False,35000.0,10.463131911491967,Other,Dodge,Other,12,0,Standard,37469.230769230766,-17826.086956521736,144
Corolla,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.6,92412,False,44500.0,10.703266939811954,Corolla,Toyota,Riyadh,8,0,Standard,10268.0,-4874.557051736359,64
Pick up,Al-Baha,Zhengzhou,Manual,Saudi,Full,2016,2.4,128,False,35000.0,10.463131911491967,Other,Other,Other,9,0,Standard,12.8,0.0,81
Pajero,Qassim,Mitsubishi,Automatic,Other,Full,2014,3.5,200000,False,39000.0,10.571342565808699,Other,Mitsubishi,Qassim,11,0,Standard,16666.666666666668,-2731.182795698922,121
Charger,Al-Ahsa,Dodge,Automatic,Saudi,Semi Full,2018,3.6,124000,False,99000.0,11.502885230075814,Other,Dodge,Al-Ahsa,7,0,Standard,15500.0,46173.913043478264,49
Suburban,Riyadh,GMC,Automatic,Saudi,Semi Full,1995,5.3,215000,False,13000.0,9.472781556562168,Suburban,GMC,Riyadh,30,1,Standard,6935.4838709677415,-32936.28158844765,900
Sunny,Riyadh,Nissan,Automatic,Saudi,Standard,2018,1.5,79968,False,29000.0,10.275085591132715,Sunny,Nissan,Riyadh,7,0,Standard,9996.0,-5575.520833333336,49
CT-S,Riyadh,Cadillac,Automatic,Saudi,Full,2010,3.6,240000,False,32000.0,10.373522431293592,Other,Other,Riyadh,15,0,Premium,15000.0,-58725.80645161291,225
Sonata,Riyadh,Hyundai,Automatic,Saudi,Standard,2019,2.4,63000,False,60000.0,11.002116507732017,Sonata,Hyundai,Riyadh,6,0,Standard,9000.0,25001.364341085275,36
Carnival,Riyadh,Kia,Automatic,Saudi,Standard,2015,2.4,132000,False,37000.0,10.518700218288165,Other,Kia,Riyadh,10,0,Standard,12000.0,4730.371900826445,100
Tahoe,Riyadh,Chevrolet,Automatic,Saudi,Semi Full,2015,5.3,71000,False,125000.0,11.736077016252437,Tahoe,Chevrolet,Riyadh,10,0,Standard,6454.545454545455,81136.46532438479,100
Sylvian Bus,Riyadh,Nissan,Manual,Saudi,Full,2018,3.0,3000,False,107000.0,11.580593459194764,Other,Nissan,Riyadh,7,0,Standard,375.0,72424.47916666666,49
ES,Jeddah,Lexus,Automatic,Other,Full,2016,3.5,103000,False,102000.0,11.532737896139919,ES,Lexus,Jeddah,9,0,Premium,10300.0,-14461.711711711716,81
Navigator,Khobar,Lincoln,Automatic,Saudi,Full,2013,5.7,27700,False,50000.0,10.819798284210286,Other,Other,Other,12,0,Premium,2130.769230769231,8156.25,144
Sierra,Riyadh,GMC,Automatic,Saudi,Standard,2016,5.3,205544,False,99500.0,11.507922973347437,Other,GMC,Riyadh,9,0,Standard,20554.4,53563.71841155235,81
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2017,2.5,180000,False,58000.0,10.968215530759236,Camry,Toyota,Dammam,8,0,Standard,20000.0,8625.44294826364,64
ES,Riyadh,Lexus,Automatic,Gulf Arabic,Semi Full,2018,3.5,28000,False,122000.0,11.711784520403112,ES,Lexus,Riyadh,7,0,Premium,3500.0,5538.288288288284,49
ES,Makkah,Lexus,Automatic,Saudi,Semi Full,2013,2.5,239,False,65000.0,11.082157933374816,ES,Lexus,Makkah,12,0,Premium,18.384615384615383,-51461.711711711716,144
Opirus,Riyadh,Kia,Automatic,Other,Semi Full,2006,3.5,25500,False,14000.0,9.546884034617925,Other,Kia,Riyadh,19,0,Standard,1275.0,-18269.628099173555,361
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2014,1.4,201000,False,23000.0,10.043292972227004,Other,Toyota,Riyadh,11,0,Standard,16750.0,-26374.55705173636,121
Senta fe,Riyadh,Hyundai,Automatic,Saudi,Full,2009,2.7,260000,False,21000.0,9.952325334619427,Other,Hyundai,Riyadh,16,0,Standard,15294.117647058823,-13998.635658914725,256
Taurus,Dammam,Ford,Automatic,Other,Semi Full,2018,3.5,107000,False,77000.0,11.251573687764477,Taurus,Ford,Dammam,7,0,Standard,13375.0,39355.46271510516,49
Patrol,Riyadh,Nissan,Automatic,Saudi,Standard,2016,4.8,4700,False,88000.0,11.385103457032141,Patrol,Nissan,Riyadh,9,0,Standard,470.0,53424.479166666664,81
Taurus,Jeddah,Ford,Automatic,Saudi,Semi Full,2015,2.5,172000,False,52000.0,10.859018228147887,Taurus,Ford,Jeddah,10,0,Standard,15636.363636363636,14355.46271510516,100
Expedition,Riyadh,Ford,Automatic,Saudi,Standard,2015,3.5,110790,False,77000.0,11.251573687764477,Expedition,Ford,Riyadh,10,0,Standard,10071.818181818182,39355.46271510516,100
The 7,Al-Medina,BMW,Automatic,Saudi,Full,2014,2.0,116000,False,100000.0,11.51293546492023,Other,BMW,Al-Medina,11,0,Premium,9666.666666666666,-9076.28865979382,121
Camry,Dammam,Toyota,Automatic,Saudi,Standard,2016,2.5,63000,False,58000.0,10.968215530759236,Camry,Toyota,Dammam,9,0,Standard,6300.0,8625.44294826364,81
Creta,Riyadh,Hyundai,Automatic,Saudi,Standard,2020,1.6,16576,False,59500.0,10.993748398115178,Other,Hyundai,Riyadh,5,0,Standard,2762.6666666666665,24501.364341085275,25
CX9,Dammam,Mazda,Automatic,Other,Full,2016,2.5,104000,False,105000.0,11.561725152903833,Other,Mazda,Dammam,9,0,Standard,10400.0,57779.52755905512,81
Expedition,Riyadh,Ford,Automatic,Gulf Arabic,Semi Full,2014,5.4,132000,False,45000.0,10.714439990727769,Expedition,Ford,Riyadh,11,0,Standard,11000.0,7355.462715105161,121
Yaris,Riyadh,Toyota,Automatic,Saudi,Standard,2017,1.4,125000,False,30000.0,10.308985993422082,Other,Toyota,Riyadh,8,0,Standard,13888.888888888889,-19374.55705173636,64
Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2019,2.0,41912,False,59500.0,10.993748398115178,Elantra,Hyundai,Riyadh,6,0,Standard,5987.428571428572,24501.364341085275,36
Camry,Makkah,Toyota,Automatic,Saudi,Full,2020,2.4,2000,False,119000.0,11.686887175419702,Camry,Toyota,Makkah,5,0,Standard,333.3333333333333,69625.44294826363,25
Azera,Jeddah,Hyundai,Automatic,Saudi,Full,2016,3.5,146000,False,56500.0,10.942013616092948,Other,Hyundai,Jeddah,9,0,Standard,14600.0,21501.364341085275,81
CS35,Riyadh,Changan,Automatic,Saudi,Full,2021,1.6,5000,False,44000.0,10.691967639914864,Other,Other,Riyadh,4,0,Standard,1000.0,11569.444444444445,16
Optima,Riyadh,Kia,Automatic,Saudi,Semi Full,2015,2.0,191,False,38500.0,10.55843949396453,Other,Kia,Riyadh,10,0,Standard,17.363636363636363,6230.371900826445,100
Edge,Riyadh,Ford,Automatic,Saudi,Standard,2013,3.6,240000,False,35000.0,10.463131911491967,Other,Ford,Riyadh,12,0,Standard,18461.53846153846,-2644.537284894839,144
LS,Dammam,Lexus,Automatic,Saudi,Full,2015,4.6,132000,False,165000.0,12.013706813470414,Other,Lexus,Dammam,10,0,Premium,12000.0,48538.288288288284,100
