Type,Region,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Negotiable,Price,Price_log,Type_Lumped,Make_Lumped,Region_Lumped,Car_Age,is_classic,car_class,Mileage_per_Age,Price_Deviation_by_Make,Car_Age_Sq
F150,Qassim,Ford,Automatic,Gulf Arabic,Standard,2019,5.0,22000,False,110000.0,11.608244735642321,Other,Ford,Qassim,6,0,Standard,3142.8571428571427,72355.46271510515,36
Beetle,Makkah,Volkswagen,Automatic,Saudi,Full,2015,6.0,130000,False,55000.0,10.915106645867503,Other,Other,Makkah,10,0,Standard,11818.181818181818,16863.63636363636,100
Tahoe,Al-Ahsa,Chevrolet,Automatic,Saudi,Semi Full,2016,5.3,104000,False,112000.0,11.626263078808801,Tahoe,Chevrolet,Al-Ahsa,9,0,Standard,10400.0,68136.46532438479,81
Yukon,Riyadh,GMC,Automatic,Saudi,Semi Full,2016,5.3,112000,False,110000.0,11.608244735642321,Yukon,GMC,Riyadh,9,0,Standard,11200.0,64063.71841155235,81
Jetta,Riyadh,Volkswagen,Automatic,Saudi,Full,2017,2.5,82000,False,54000.0,10.896757843893464,Other,Other,Riyadh,8,0,Standard,9111.111111111111,15863.63636363636,64
Prado,Riyadh,Toyota,Manual,Saudi,Semi Full,2013,4.0,186000,False,55000.0,10.915106645867503,Prado,Toyota,Riyadh,12,0,Standard,14307.692307692309,5625.442948263641,144
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Standard,2013,6.2,55769,False,90000.0,11.407576060361786,Other,Chevrolet,Riyadh,12,0,Standard,4289.923076923077,46136.465324384786,144
Camry,Jazan,Toyota,Automatic,Saudi,Standard,2013,2.5,376580,False,28000.0,10.239995502805316,Camry,Toyota,Other,12,0,Standard,28967.69230769231,-21374.55705173636,144
Land Cruiser,Dammam,Toyota,Automatic,Saudi,Full,2011,4.6,211000,False,115000.0,11.652696102959753,Land Cruiser,Toyota,Dammam,14,0,Standard,14066.666666666666,65625.44294826363,196
Charger,Jeddah,Dodge,Automatic,Saudi,Standard,2012,3.6,300,False,38000.0,10.545367754151743,Other,Dodge,Jeddah,13,0,Standard,21.428571428571427,-14826.086956521736,169
X,Riyadh,BMW,Automatic,Gulf Arabic,Full,2016,3.0,130000,False,160000.0,11.982935344196433,Other,BMW,Riyadh,9,0,Premium,13000.0,50923.71134020618,81
The 3,Dammam,BMW,Automatic,Saudi,Full,2018,2.0,96000,False,90000.0,11.407576060361786,Other,BMW,Dammam,7,0,Premium,12000.0,-19076.28865979382,49
Caprice,Riyadh,Chevrolet,Automatic,Saudi,Standard,2015,6.0,105000,False,80000.0,11.289794413577894,Other,Chevrolet,Riyadh,10,0,Standard,9545.454545454546,36136.465324384786,100
RX,Riyadh,Lexus,Automatic,Gulf Arabic,Full,2017,3.5,59000,False,188000.0,12.144202560946876,Other,Lexus,Riyadh,8,0,Premium,6555.555555555556,71538.28828828828,64
Acadia,Khobar,GMC,Automatic,Saudi,Full,2014,3.6,250000,False,50000.0,10.819798284210286,Other,GMC,Other,11,0,Standard,20833.333333333332,4063.7184115523487,121
Edge,Riyadh,Ford,Automatic,Gulf Arabic,Standard,2017,3.5,82000,False,80000.0,11.289794413577894,Other,Ford,Riyadh,8,0,Standard,9111.111111111111,42355.46271510516,64
Impala,Riyadh,Chevrolet,Automatic,Saudi,Standard,2019,3.6,178000,False,67000.0,11.112462823634855,Other,Chevrolet,Riyadh,6,0,Standard,25428.571428571428,23136.465324384786,36
Furniture,Riyadh,Toyota,Automatic,Saudi,Standard,2013,4.0,248500,False,58000.0,10.968215530759236,Furniture,Toyota,Riyadh,12,0,Standard,19115.384615384617,8625.44294826364,144
Avanza,Jeddah,Toyota,Automatic,Saudi,Semi Full,2018,1.5,57000,False,46000.0,10.736418414365376,Other,Toyota,Jeddah,7,0,Standard,7125.0,-3374.5570517363594,49
500,Riyadh,Fiat,Automatic,Saudi,Full,2016,1.5,155000,False,45000.0,10.714439990727769,Other,Other,Riyadh,9,0,Standard,15500.0,-9714.285714285717,81
Avalon,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2017,3.5,53000,False,118000.0,11.678448377988165,Other,Toyota,Riyadh,8,0,Standard,5888.888888888889,68625.44294826363,64
C300,Riyadh,Chrysler,Automatic,Saudi,Full,2018,5.7,65000,False,123000.0,11.719947764402807,Other,Other,Riyadh,7,0,Standard,8125.0,73620.0,49
Durango,Jeddah,Dodge,Automatic,Saudi,Standard,2016,3.6,61000,False,72000.0,11.184435286790631,Other,Dodge,Jeddah,9,0,Standard,6100.0,19173.913043478264,81
Hilux,Riyadh,Toyota,Manual,Gulf Arabic,Standard,1991,2.4,9999,False,16000.0,9.680406499268875,Hilux,Toyota,Riyadh,34,1,Standard,285.6857142857143,-33374.55705173636,1156
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2019,1.4,72000,False,40000.0,10.596659732783579,Accent,Hyundai,Dammam,6,0,Standard,10285.714285714286,5001.364341085275,36
Marquis,Riyadh,Ford,Automatic,Other,Full,2010,4.6,200000,False,18000.0,9.798182590890704,Other,Ford,Riyadh,15,0,Standard,12500.0,-19644.53728489484,225
Taurus,Dammam,Ford,Automatic,Other,Full,2016,3.5,91000,False,70000.0,11.156264806643742,Taurus,Ford,Dammam,9,0,Standard,9100.0,32355.46271510516,81
Sierra,Dammam,GMC,Automatic,Saudi,Standard,2018,5.3,152000,False,124000.0,11.728044909070785,Other,GMC,Dammam,7,0,Standard,19000.0,78063.71841155234,49
LX,Dammam,Lexus,Automatic,Gulf Arabic,Full,2017,5.7,68000,False,342000.0,12.742568940017076,Other,Lexus,Dammam,8,0,Premium,7555.555555555556,225538.28828828828,64
Ciocca,Al-Ahsa,Toyota,Automatic,Saudi,Semi Full,2013,5.7,235000,False,85000.0,11.350418300109132,Other,Toyota,Al-Ahsa,12,0,Standard,18076.923076923078,35625.44294826364,144
Yukon,Taef,GMC,Automatic,Saudi,Semi Full,2009,5.3,200000,False,40000.0,10.596659732783579,Yukon,GMC,Taef,16,0,Standard,11764.70588235294,-5936.281588447651,256
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2014,4.6,325000,False,126000.0,11.744045122410057,Land Cruiser,Toyota,Riyadh,11,0,Standard,27083.333333333332,76625.44294826363,121
LX,Jeddah,Lexus,Automatic,Saudi,Full,2020,5.7,14000,False,420000.0,12.948012371209098,Other,Lexus,Jeddah,5,0,Premium,2333.3333333333335,303538.2882882883,25
Land Cruiser,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2019,4.0,62000,False,195000.0,12.180759965737863,Land Cruiser,Toyota,Riyadh,6,0,Standard,8857.142857142857,145625.44294826363,36
6,Riyadh,Mazda,Automatic,Gulf Arabic,Standard,2017,2.5,70000,False,53000.0,10.87806606028079,Other,Mazda,Riyadh,8,0,Standard,7777.777777777777,5779.527559055117,64
Accent,Dammam,Hyundai,Automatic,Saudi,Standard,2017,1.4,61000,False,34000.0,10.434145214930487,Accent,Hyundai,Dammam,8,0,Standard,6777.777777777777,-998.6356589147254,64
Silverado,Aseer,Chevrolet,Automatic,Saudi,Full,2016,5.3,96000,False,95000.0,11.461642696843066,Other,Chevrolet,Aseer,9,0,Standard,9600.0,51136.465324384786,81
Impala,Qassim,Chevrolet,Automatic,Saudi,Semi Full,2019,3.5,91000,False,74000.0,11.211833885608513,Other,Chevrolet,Qassim,6,0,Standard,13000.0,30136.465324384786,36
Cadenza,Riyadh,Kia,Manual,Gulf Arabic,Semi Full,2019,3.3,72000,False,88000.0,11.385103457032141,Other,Kia,Riyadh,6,0,Standard,10285.714285714286,55730.371900826445,36
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Full,2013,4.6,275000,False,125000.0,11.736077016252437,Land Cruiser,Toyota,Riyadh,12,0,Standard,21153.846153846152,75625.44294826363,144
Elantra,Riyadh,Hyundai,Automatic,Other,Standard,2018,1.6,83000,False,50000.0,10.819798284210286,Elantra,Hyundai,Riyadh,7,0,Standard,10375.0,15001.364341085275,49
Land Cruiser,Al-Ahsa,Toyota,Automatic,Saudi,Full,2019,4.6,134000,False,170000.0,12.04355959836804,Land Cruiser,Toyota,Al-Ahsa,6,0,Standard,19142.85714285714,120625.44294826363,36
Flex,Dammam,Ford,Automatic,Saudi,Semi Full,2012,3.5,277000,False,30000.0,10.308985993422082,Other,Ford,Dammam,13,0,Standard,19785.714285714286,-7644.537284894839,169
Traverse,Riyadh,Chevrolet,Automatic,Other,Standard,2011,3.6,320000,False,23000.0,10.043292972227004,Other,Chevrolet,Riyadh,14,0,Standard,21333.333333333332,-20863.534675615214,196
Accent,Riyadh,Hyundai,Automatic,Saudi,Standard,2018,1.4,104681,False,36500.0,10.505094936455558,Accent,Hyundai,Riyadh,7,0,Standard,13085.125,1501.3643410852746,49
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Semi Full,2015,5.7,170000,False,150000.0,11.918397239722838,Land Cruiser,Toyota,Riyadh,10,0,Standard,15454.545454545454,100625.44294826363,100
Elantra,Riyadh,Hyundai,Automatic,Saudi,Semi Full,2017,2.0,237356,False,42000.0,10.645448706505872,Elantra,Hyundai,Riyadh,8,0,Standard,26372.88888888889,7001.364341085275,64
Land Cruiser,Jeddah,Toyota,Automatic,Saudi,Full,2012,5.7,311000,False,115000.0,11.652696102959753,Land Cruiser,Toyota,Jeddah,13,0,Standard,22214.285714285714,65625.44294826363,169
Flex,Dammam,Ford,Automatic,Saudi,Semi Full,2014,3.5,180000,False,47000.0,10.757924157061597,Other,Ford,Dammam,11,0,Standard,15000.0,9355.46271510516,121
Land Cruiser,Riyadh,Toyota,Automatic,Saudi,Standard,2015,4.7,345417,False,135000.0,11.813037464800539,Land Cruiser,Toyota,Riyadh,10,0,Standard,31401.545454545456,85625.44294826363,100
Furniture,Aseer,Toyota,Manual,Saudi,Full,2010,2.7,450000,False,38000.0,10.545367754151743,Furniture,Toyota,Aseer,15,0,Standard,28125.0,-11374.55705173636,225
5008,Riyadh,Peugeot,Automatic,Saudi,Standard,2012,1.6,12000,False,27000.0,10.203629181337648,Other,Other,Riyadh,13,0,Standard,857.1428571428571,-6937.5,169
Avalon,Riyadh,Toyota,Automatic,Gulf Arabic,Full,2015,3.5,100000,False,87000.0,11.373674891823535,Other,Toyota,Riyadh,10,0,Standard,9090.90909090909,37625.44294826364,100
Maxima,Jeddah,Nissan,Automatic,Saudi,Semi Full,2017,3.5,56000,False,78000.0,11.264476926102367,Other,Nissan,Jeddah,8,0,Standard,6222.222222222223,43424.479166666664,64
Hilux,Aseer,Toyota,Manual,Saudi,Semi Full,2018,2.7,20000,False,115000.0,11.652696102959753,Hilux,Toyota,Aseer,7,0,Standard,2500.0,65625.44294826363,49
Prado,Jeddah,Toyota,Automatic,Saudi,Full,2020,4.0,8000,False,174000.0,12.066816325306588,Prado,Toyota,Jeddah,5,0,Standard,1333.3333333333333,124625.44294826363,25
